Journal Title,ISSN (Print),ISSN (Online),Categories
"APMIS : acta pathologica, microbiologica, et immunologica Scandinavica.",0903-4641,1600-0463,Allergy and Immunology; Microbiology; Pathology
Genes and immunity.,1466-4879,1476-5470,Allergy and Immunology; Molecular Biology
Molecular immunology.,0161-5890,1872-9142,Allergy and Immunology; Molecular Biology
Oncoimmunology.,2162-4011,2162-402X,Allergy and Immunology; Neoplasms
Cancer immunology research.,2326-6066,2326-6074,Allergy and Immunology; Neoplasms
Journal of immunotherapy.,1524-9557,1537-4513,Allergy and Immunology; Neoplasms; Therapeutics
"Cancer immunology, immunotherapy : CII.",0340-7004,1432-0851,Allergy and Immunology; Neoplasms; Therapeutics
Neuroimmunomodulation.,1021-7401,1423-0216,Allergy and Immunology; Neurology
Journal of neuroimmunology.,0165-5728,1872-8421,Allergy and Immunology; Neurology
Journal of neuroimmune pharmacology : the official journal of the Society on NeuroImmune Pharmacology.,1557-1890,1557-1904,Allergy and Immunology; Neurology; Pharmacology
Ocular immunology and inflammation.,0927-3948,1744-5078,Allergy and Immunology; Ophthalmology
International forum of allergy & rhinology.,2042-6976,2042-6984,Allergy and Immunology; Otolaryngology
American journal of rhinology & allergy.,1945-8924,1945-8932,Allergy and Immunology; Otolaryngology
Parasite immunology.,0141-9838,1365-3024,Allergy and Immunology; Parasitology
Seminars in immunopathology.,1863-2297,1863-2300,Allergy and Immunology; Pathology
Inflammation research : official journal of the European Histamine Research Society ... [et al.].,1023-3830,1420-908X,Allergy and Immunology; Pathology
Inflammation.,0360-3997,1573-2576,Allergy and Immunology; Pathology
International journal of immunopathology and pharmacology.,0394-6320,2058-7384,Allergy and Immunology; Pathology; Pharmacology
Pediatric allergy and immunology : official publication of the European Society of Pediatric Allergy and Immunology.,0905-6157,1399-3038,Allergy and Immunology; Pediatrics
"Pediatric allergy, immunology, and pulmonology.",2151-321X,2151-3228,Allergy and Immunology; Pediatrics; Pulmonary Medicine
Recent advances in inflammation & allergy drug discovery.,2772-2708,2772-2716,Allergy and Immunology; Pharmacology
International immunopharmacology.,1567-5769,1878-1705,Allergy and Immunology; Pharmacology
Immunopharmacology and immunotoxicology.,0892-3973,1532-2513,Allergy and Immunology; Pharmacology; Toxicology
Advances in respiratory medicine.,2451-4934,2543-6031,Allergy and Immunology; Pulmonary Medicine
Current allergy and asthma reports.,1529-7322,1534-6315,Allergy and Immunology; Pulmonary Medicine
Allergy and asthma proceedings :,1088-5412,1539-6304,Allergy and Immunology; Pulmonary Medicine
"Annals of allergy, asthma & immunology : official publication of the American College of Allergy, Asthma, & Immunology.",1081-1206,1534-4436,Allergy and Immunology; Pulmonary Medicine
The Journal of asthma : official journal of the Association for the Care of Asthma.,0277-0903,1532-4303,Allergy and Immunology; Pulmonary Medicine
American journal of reproductive immunology : AJRI.,1046-7408,1600-0897,Allergy and Immunology; Reproductive Medicine
Journal of reproductive immunology.,0165-0378,1872-7603,Allergy and Immunology; Reproductive Medicine
Lupus science & medicine.,,2053-8790,Allergy and Immunology; Rheumatology
Biologicals : journal of the International Association of Biological Standardization.,1045-1056,1095-8320,Allergy and Immunology; Technology
Immunotherapy.,1750-743X,1750-7448,Allergy and Immunology; Therapeutics
Journal of immunotoxicology.,1547-691X,1547-6901,Allergy and Immunology; Toxicology
Transplant immunology.,0966-3274,1878-5492,Allergy and Immunology; Transplantation
Immunological reviews.,0105-2896,1600-065X,Allergy and Immunology; Transplantation
Veterinary immunology and immunopathology.,0165-2427,1873-2534,Allergy and Immunology; Veterinary Medicine
Viral immunology.,0882-8245,1557-8976,Allergy and Immunology; Virology
Fish & shellfish immunology.,1050-4648,1095-9947,Allergy and Immunology; Zoology
